SL. No.,iso,Language_Name,Uninverted_Name,Autonym,Alternate_Names,Country_Code,Country_Namee,Is_Primary,is_Indigenous,Is_Established,All_Users,L1_Users,L2_Users,All_Full,L1_Full,L2_Full,Monolingual,Ethnic,Population_Year,Population_Total,Location,Subdivision,Latitude,Longitude,EGIDS,EGIDS_Label,Official_Recognition,LWC_Support,Classification,Dialect_Names,Relationships,Typology,Language_Use,Language_Contact,Use_as_L2,Literacy,Education,Literature,Revitalization,Language_Planning_Org,Scripts,General_Remarks,Religion
1,adi,Adi,Adi,Adi,"Abhor, Abor, Boga’er Luoba, Bori-Karko, Lhoba, Luoba",IN,India,T,T,T,150000,150000,,,"150,000 in India (2011 census).",,,,2011,"1,51,090","Arunachal Pradesh state: East, West, and Upper Siang districts, Upper Subansiri and Dibang Valley districts; Assam state: Assam valley north hills, between Bhutan and Buruli rivers.",Arunachal Pradesh,28.8208,94.3054,5,5* (Developing),,,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani","Ashing, Bokar (Boga’er Luoba), Bori, Karko, Komkar, Milang (Milan), Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam",May be a dialect of Mising [mrg] (2021 T. Patir).,SOV; particles indicate grammatical relations; long-short vowel distinction; most words polysyllabic; loans mainly from Tibetan.,,Also use Assamese [asm]. Also use English [eng]. Also use Hindi [hin]. Also use Nepali [npi].,"Used as L2 by Khamba [kbg], Tshangla [tsj].",Literacy rate in L2: 59% (2001 census).,,Radio. Dictionary. Grammar. Bible: 2005–2009.,,,"Latin script [Latn]. Tibetan script [Tibt], used in China.","A Scheduled Tribe with several subgroups. ‘Adi’, hillman, is a cover term for eastern Tani languages.",Traditional religion.
2,adl,"Adi, Galo",Galo Adi,Galo,"Adi, Adi-Gallong, Adi-Galo, Gallong, Galong",IN,India,T,T,T,29200,29200,,,"29,200 (2011 census).",,A few older adult monolinguals.,,2011,,"Arunachal Pradesh state: East Siang, Lepa-Rada, West Siang, and Upper Subansiri districts.",Arunachal Pradesh,28.1066,94.7992,5,5 (Developing),,,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani","Lare, Pugo, Karka",Lare is the main dialect and is accepted by all Galo.,"SOV; postpositions; genitives after noun heads; articles, adjectives, numerals before and after noun heads; relatives after noun heads or without; question word initial; maximum prefixes 2, maximum suffixes 4–5; affixes indicate case of noun phrase; causatives and comparatives; CV, CVC, CVV patterns; nontonal.","Home, community. Used by all.","Most also use Assamese [asm]. Most also use Hindi [hin], especially with the military. Many also use English [eng], especially the educated and the young.",,Literacy rate in L2: 60%. More men can read than women but more girls and women are learning.,,Radio. Dictionary. Grammar. NT: 2008.,,,Latin script [Latn].,,"Traditional religion, Christian."
3,agi,Agariya,Agariya,,"Agaria, Agharia, Agoria",IN,India,T,T,T,72000,72000,,,"72,000 (2007).",,,,2007,,"Chhattisgarh state: Bilaspur district; Madhya Pradesh state: Mandla and Rewa districts, Maikal hills; Uttar Pradesh state: Agra, Mathura, and Mirzapur districts.",Madhya Pradesh,24.55,81.9174,6a,6a* (Vigorous),,,"Austro-Asiatic, Munda, North Munda, Kherwari",,,,,Many also use English [eng]. Also use Hindi [hin].,,Literacy rate in L2: 5%.,,,,,,A Scheduled Caste in Uttar Pradesh. Chhattisgarhi [hne] L1 of tribe (Singh 1995b).,"Traditional religion, Hindu."
4,ahr,Ahirani,Ahirani,अहिराणी‎ (Ahirani),Ahiri,IN,India,T,T,T,1640000,1640000,,,"1,640,000 (2011 census).",,,,2011,,"Gujarat state; Maharashtra state: Aurangabad, Dhulia, Jalgaon, Nandurbar, and Nasik districts.",Maharashtra,20.5031,74.9743,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Khandesi",,,,,Many also use English [eng]. Also use Hindi [hin]. Also use Marathi [mar].,"Used as L2 by Palya Bareli [bpx], Pauri Bareli [bfb], Rathwi Bareli [bgd].",,,NT: 2017–2020.,,,Devanagari script [Deva].,,Hindu.
5,aho,Ahom,Ahom,,Tai Ahom,IN,India,T,T,T,0,0,,,No known L1 speakers.,,,No ethnic community.,,,Assam state.,Assam,26.5393,92.5378,9,9 (Second language only),,,"Kra-Dai, Kam-Tai, Tai, Southwestern",,,,"Not spoken in daily life; used in religious chants and literary materials. Attempts to revive the spoken language are underway, with assistance of scholars from the Aiton [aio] and Phake [phk] communities (2007).",,,,,Dictionary. Grammar.,,,Ahom script [Ahom].,"Former language of the Tai-Ahom king. Possibly 8,000,000 Assamese [asm] speakers claim to be of Ahom descent (1990 A. Diller).",
6,aim,Aimol,Aimol,Aimol,,IN,India,T,T,T,2640,2640,,,"2,640 (2001 census).",,,,2001,,"Assam state; Manipur state: Bishnupur district, Kha-Aimol; Chandel district, Aimol Tampak, Chandonpokpi, Chingunghut, Khodamphai, Khomayai (Khunjai), Kumbirei, Ngairong Aimol, Satu, Soibong (Khudengthabi), and Unapal; Churachandpur district, Luichungbum (Louchulbung); Senapati district, Tuikhong.",Manipur,24.4861,94.0349,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Northwestern",Langrong,Langrong may be a distinct language. Reportedly intelligible to Koireng [nkd].,,"Home, church.",Most also use Meitei [mni]. Also use English [eng].,,Literacy rate in L2: 60%–70%.,,NT: 2013.,,,Latin script [Latn].,,Christian.
7,aio,Aiton,Aiton,ဢႝတွꩫ်‎ (Aiton),"Aitonia, Sham Doaniya, Shyam, Tai Aiton",IN,India,T,T,T,1500,1500,,,"1,500 (Morey 2006).",,,,2006,,"Assam state: Jorhat and Karbi Anglong districts, Ahomoni, Balipathar, Banlung, Barhula, Chakihula, Doboroni, Kaliyani, and Tengani villages.",Assam,26.3535,93.9212,6b,6b (Threatened),,,"Kra-Dai, Kam-Tai, Tai, Southwestern",,Reportedly similar to Phake [phk]. Lexical similarity: 64%–83% with Khamyang [ksu] and 48%–54% with Phake [phk].,,"Some young people, all adults.",Also use Assamese [asm]. Also use English [eng]. Also use Hindi [hin].,,,,,,,Myanmar (Burmese) script [Mymr].,,Buddhist.
8,abj,Aka-Bea,Aka-Bea,,"Aka-Beada, Aka-Biada, Bea, Beada, Biada, Bogijiab, Bojigiyab, Bojigniji, Bojigyab",IN,India,T,T,T,0,0,,,No known L1 speakers. The last speaker died in 1931 (Van Driem 2001).,,,,,,"Andaman and Nicobar Islands union territory: South Andaman Island except northeast coast, and north and east interiors; Rutland Island except south coast; small islands southeast of Rutland; Labyrinth Islands.",Andaman and Nicobar Islands,11.6374,92.6189,x10,10 (Extinct),,,"Andamanese, Great Andamanese, Central",,,,,,,,,,,,,,
9,akm,Aka-Bo,Aka-Bo,,"Ba, Bo",IN,India,T,T,T,0,0,, ,"No known L1 speakers. Last speaker, Boa Sr., died in 2010.",,,,,,"Andaman and Nicobar Islands union territory: east central coast of North Andaman Island, North Reef Island.",Andaman and Nicobar Islands,13.5118,92.8691,x10,10 (Extinct),,,"Andamanese, Great Andamanese, Northern",,,,,,,,,,,,,,
10,aci,Aka-Cari,Aka-Cari,,"Akacari, Cari, Chari, Chariar, Sare",IN,India,T,T,T,0,0,,,"No known L1 speakers. The last known speaker, Licho, died in April 2020.",,,,,,"Andaman and Nicobar Islands union territory: North Andaman Island north coast, Landfall Island, other nearby small islands.",Andaman and Nicobar Islands,13.5686,93.035,x10,10 (Extinct),,,"Andamanese, Great Andamanese, Northern",,,,,,,,,,,,,,
